,stress_level,Social_Factors,Academic_Factors,Psychological_Factors,Environmental_Factors,Physiological_Factors,bullying,future_career_concerns,anxiety_level,depression,headache,basic_needs,safety,academic_performance,sleep_quality,self_esteem
0,1,0.4153627451286079,0.4167517624643678,0.3694527323388074,0.44766015361058326,0.3972545144697581,0.4,0.6000000000000001,0.6666666666666666,0.4074074074074074,0.4,0.4,0.6000000000000001,0.6000000000000001,0.4,0.6666666666666666
1,2,0.9044520105722292,0.8856359320578016,0.7575299442900668,0.6607977579892095,0.9195132798566079,1.0,1.0,0.7142857142857142,0.5555555555555556,1.0,0.4,0.4,0.2,0.2,0.26666666666666666
2,1,0.3524152084798674,0.4684412882132428,0.6212531064780253,0.49654287319714685,0.2739063769018656,0.4,0.4,0.5714285714285714,0.5185185185185185,0.4,0.4,0.6000000000000001,0.4,0.4,0.6
3,2,0.8415044739234888,0.7621179385605001,0.7342310452542367,0.6676587342737845,0.781175942948873,1.0,0.8,0.7619047619047619,0.5555555555555556,0.8,0.4,0.4,0.4,0.2,0.4
4,1,0.6524535843932663,0.46156133492767676,0.28429657722623014,0.4330829077206962,0.18255438855983447,1.0,0.4,0.7619047619047619,0.25925925925925924,0.4,0.6000000000000001,0.8,0.8,1.0,0.9333333333333333
5,2,0.8415044739234888,0.8209096227308497,0.8328734021672705,0.6714902304158749,0.7661867436090309,1.0,1.0,0.9523809523809523,0.7777777777777777,0.6000000000000001,0.2,0.4,0.4,0.2,0.43333333333333335
6,0,0.1256867937134798,0.058791684170349634,0.14330916274469352,0.16425488479206263,0.08048672014339223,0.2,0.2,0.19047619047619047,0.2222222222222222,0.2,0.8,0.8,1.0,0.8,0.8666666666666667
7,2,0.8415044739234888,0.7120372985650626,0.8945429662023262,0.7800014193367988,0.9045240805167656,1.0,0.8,0.8095238095238095,0.8148148148148148,0.8,0.2,0.2,0.2,0.2,0.1
8,1,0.25665893946809565,0.5276758537637833,0.5786750289217368,0.44382865746849287,0.4739177825935467,0.4,0.6000000000000001,0.6190476190476191,0.4444444444444444,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.7333333333333333
9,1,0.7730633056496112,0.7177512474773823,0.5314101294624775,0.2980357920295391,0.7195018741649267,0.8,1.0,0.2857142857142857,1.0,0.8,0.4,0.4,0.4,0.2,0.26666666666666666
10,2,0.8415044739234888,0.7694407732262574,0.8430614834860265,0.7868623956213738,0.781175942948873,1.0,0.8,0.8095238095238095,0.9259259259259258,0.8,0.2,0.2,0.2,0.2,0.4
11,2,0.898958378947092,0.7694407732262574,0.787342632206343,0.8426060914925125,0.8278608123929772,0.8,0.8,0.8095238095238095,0.8148148148148148,0.6000000000000001,0.2,0.2,0.2,0.2,0.5
12,0,0.0,0.11231230080857035,0.15715616456198575,0.14967763890217556,0.1421607889273385,0.2,0.2,0.23809523809523808,0.2962962962962963,0.2,1.0,1.0,1.0,0.8,0.9333333333333333
13,2,0.2243212703865749,0.5384386650723235,0.6356785563601651,0.3215955159784189,0.5961537365970342,0.2,0.6000000000000001,0.42857142857142855,0.8888888888888888,0.8,0.6000000000000001,0.8,0.2,0.2,0.7666666666666666
14,0,0.06294753664874045,0.11575227745135341,0.07165458137234676,0.21313760437862617,0.1421607889273385,0.2,0.2,0.09523809523809523,0.1111111111111111,0.2,0.8,0.8,0.8,0.8,0.9333333333333333
15,1,0.3524152084798674,0.47027237910258857,0.35213450206467034,0.5561713425315071,0.4739177825935467,0.4,0.6000000000000001,0.5238095238095237,0.5185185185185185,0.6000000000000001,0.4,0.4,0.6000000000000001,0.4,0.7
16,0,0.1256867937134798,0.001388209509154803,0.10211358536987872,0.10462641545770224,0.1421607889273385,0.2,0.2,0.2857142857142857,0.037037037037037035,0.2,0.8,1.0,1.0,0.8,0.9333333333333333
17,0,0.0,0.11575227745135341,0.16062739301883064,0.16037011132884105,0.1421607889273385,0.2,0.2,0.3333333333333333,0.1111111111111111,0.2,0.8,1.0,0.8,0.8,0.8333333333333334
18,1,0.3248918281579721,0.5258447628744376,0.314988601211548,0.49271137705505647,0.3505696450256542,0.6000000000000001,0.4,0.5238095238095237,0.4444444444444444,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.4,0.7666666666666666
19,2,0.8415044739234888,0.8817530740348276,0.9910666388336682,0.7761166458735771,0.8428500117328194,1.0,1.0,1.0,0.9259259259259258,0.8,0.2,0.4,0.2,0.2,0.03333333333333333
20,0,0.06294753664874045,0.05490882614737552,0.0641037203874886,0.1535091350442659,0.08048672014339223,0.2,0.2,0.14285714285714285,0.0,0.2,0.8,1.0,1.0,0.8,0.9
21,2,0.8415044739234888,0.815638555198721,0.9152046449042585,0.8319136190658472,0.781175942948873,1.0,0.8,0.8571428571428571,0.7777777777777777,0.8,0.4,0.2,0.4,0.2,0.03333333333333333
22,0,0.06294753664874045,0.11575227745135341,0.16203984920662517,0.09393394303103697,0.08048672014339223,0.2,0.2,0.3333333333333333,0.18518518518518517,0.2,1.0,1.0,0.8,0.8,0.9
23,2,0.8360108422983515,0.7694407732262574,0.9525382377990721,0.7272872036081448,0.7661867436090309,0.8,0.8,0.9523809523809523,0.9629629629629629,0.6000000000000001,0.4,0.2,0.2,0.2,0.16666666666666666
24,1,0.31960647611683607,0.35407722027104427,0.6068875686085272,0.5523398463894169,0.3505696450256542,0.4,0.4,0.6190476190476191,0.5185185185185185,0.6000000000000001,0.6000000000000001,0.4,0.6000000000000001,0.4,0.7
25,0,0.06273925706473936,0.11963513547432741,0.1874574325241472,0.16037011132884105,0.06167406878394628,0.2,0.2,0.2857142857142857,0.2962962962962963,0.2,0.8,1.0,0.8,1.0,0.8666666666666667
26,2,0.898958378947092,0.7694407732262574,0.9283753746339742,0.6714902304158749,0.9811873486405541,0.8,0.8,0.8571428571428571,1.0,1.0,0.2,0.4,0.2,0.2,0.2
27,0,0.32269296336216047,0.24359601035181971,0.29770032694373166,0.5935595736917998,0.3435278288466189,0.4,0.4,0.3333333333333333,0.7407407407407407,0.4,1.0,0.4,0.8,0.6000000000000001,0.9333333333333333
28,1,0.2621525710932327,0.35407722027104427,0.5890208462758633,0.5034571268028531,0.19341965675847334,0.6000000000000001,0.4,0.6190476190476191,0.5185185185185185,0.4,0.6000000000000001,0.4,0.6000000000000001,0.6000000000000001,0.7666666666666666
29,2,0.8362191218823527,0.7085973219222794,0.887022061223789,0.8914888110790762,0.7045126748250845,0.8,0.8,0.8095238095238095,0.8888888888888888,0.6000000000000001,0.2,0.2,0.4,0.2,0.2
30,0,0.1256867937134798,0.17315575211254813,0.055718851279683485,0.16037011132884105,0.0,0.2,0.2,0.0,0.1111111111111111,0.2,0.8,1.0,0.8,1.0,0.9
31,1,0.19172081760754467,0.6438710125953276,0.47944802270405906,0.2728193510341179,0.9233367318762116,0.2,0.8,0.7142857142857142,0.37037037037037035,0.8,1.0,0.4,0.6000000000000001,0.0,0.26666666666666666
32,2,0.7732715852336123,0.6511938472610848,0.8642716542464857,0.7830308994792835,0.8428500117328194,0.8,0.8,0.7142857142857142,1.0,0.8,0.4,0.2,0.4,0.2,0.3
33,1,0.4206480971697439,0.46500131157045976,0.2612007421718651,0.44766015361058326,0.2739063769018656,0.6000000000000001,0.4,0.42857142857142855,0.3333333333333333,0.4,0.4,0.6000000000000001,0.6000000000000001,0.4,0.7666666666666666
